NOx_EO,AIR Flow,Fuel flow,Gexh ,T4,N,MD,Power,Air to Fuel RATIO,Velocity,diff_pressure,LABEL
152.85,201.3,9.32,210.62,315.59,1817,162.63,31.28,21.6,35,1.43,0
153.54,198.74,9.19,207.93,316.9,1864.2,147.54,29.18,21.63,100,2.56,0
152.85,192.43,8.93,201.36,316.57,1891.6,176.03,34.58,21.54,100,1,0
155.93,182.38,8.5,190.88,313.67,1877.4,119.62,23.58,21.47,100,2.3,0
153.19,173.21,7.92,181.13,310.74,1893,118.49,23.56,21.87,97,0.57,0
153.9,169.22,7.3,176.52,307.92,1898,140.06,27.66,23.19,66,0.65,0
161.15,168.6,6.82,175.42,306.38,1887.4,121.64,24.04,24.71,88,0.78,0
169.31,166.69,6.53,173.22,303.89,1901.2,86.96,17.43,25.52,23,0.57,0
167.56,156.98,6.3,163.28,299.11,1920.7,69.72,13.99,24.91,51,0.37,1
161.83,146.2,5.84,152.04,293.54,1910.8,95.87,19.06,25.02,78,3.8,0
153.62,153.63,5.19,158.82,291.68,1891.4,146.35,28.75,29.61,69,1.3,0
146.39,169.13,5,174.13,292.55,1883.4,109.01,21.61,33.82,23,2.3,0
165.02,172.28,5.37,177.65,293.52,1920.7,115.23,23.3,32.08,16,2.5,0
181.36,203.18,5.87,209.05,297.83,2023.3,62.38,14.06,34.61,68,2.37,0
214.1,261.02,6.52,267.54,300.29,2217.6,163.66,38.37,40.04,36,1.3,0
158.14,248.24,7.59,255.83,297.58,2244.4,131.7,30.89,32.7,55,2.3,0
171.53,236.42,8.11,244.53,293.03,2243.3,117.67,27.59,29.17,76,2.5,0
250.24,228.15,7.94,236.09,287.77,2242.9,104.1,24.41,28.73,34,0.57,0
209.74,222.64,7.58,230.22,283.42,2246.3,91.7,21.58,29.37,5,0.65,0
191.49,221.49,7.18,228.67,279.38,2251.1,106.19,24.95,30.85,10,0.78,0
192.5,221.57,6.86,228.43,277.46,2245.3,118.19,27.74,32.31,13,0.78,0
195.23,227.23,6.73,233.96,277.11,2244,121.9,28.6,33.78,17.5,0.57,0
181.28,232.31,6.87,239.18,276.88,2241.1,138.2,32.31,33.81,12.4,0.77,1
181.7,237.5,7.11,244.61,278.1,2236.4,134.6,31.53,33.38,123,0.57,0
196.26,240.85,7.46,248.31,279.22,2239.9,146.8,34.31,32.28,34,0.65,0
191.71,242.18,7.8,249.98,280.29,2236,137.58,32.22,31.05,15,0.78,0
195.27,241.19,8.03,249.22,281.25,2239.6,148.16,34.63,30.03,64,0.23,0
190.31,244.1,8.17,252.27,282.31,2236.2,140.78,32.97,29.86,98,2.5,0
194.84,245.45,8.26,253.71,282.96,2242.7,141.79,33.26,29.73,34,2.37,0
191.83,241.4,8.33,249.73,283.04,2243.6,135.17,31.7,28.98,28,1.3,0
196.56,234.94,8.25,243.19,281.51,2245.7,100.23,23.58,28.47,57,2.8,0
196.08,223.35,7.98,231.33,278.59,2252.7,79.61,18.76,27.99,63,0.23,0
200.06,216.58,7.41,223.99,274.79,2254.7,81.19,19.14,29.25,96,3.03,0
191.33,215.29,6.71,222,272.06,2252.4,92.12,21.64,32.08,17,3.2,0
182.09,216.74,6.25,222.99,271.04,2248.4,89.54,21.09,34.7,56,1.3,0
172.79,220.09,6.03,226.12,270.8,2254.5,102.4,24.15,36.48,27,2.5,0
170.26,225.15,6.09,231.24,270.63,2247.2,147.08,34.32,36.96,45,1,0
172.45,242.57,6.39,248.96,275.87,2228.4,182.95,42.68,37.99,67,2.3,0
179.43,269.22,7.17,276.39,282.52,2233,192.44,44.93,37.56,24,0.57,1
195.09,275.49,8.4,283.89,285.91,2233.1,194.72,45.44,32.8,57,0.65,0
203.69,277.68,9.31,286.99,287.3,2235.4,178.95,41.9,29.81,98,2.5,0
229.93,267.35,9.84,277.19,287.96,2244.5,150.98,35.53,27.16,99,2.37,0
262.2,254.54,9.9,264.44,287.01,2247.6,160.77,37.62,25.7,67,1.3,0
270.3,248.63,9.49,258.12,287.35,2239.5,135.28,31.8,26.2,26,2.8,0
262.32,248.12,9.12,257.24,287.36,2250.3,149.31,35.08,27.21,17.8,0.23,0
225.48,247.59,8.86,256.45,287.53,2247.2,134.12,31.58,27.95,17.3,3.03,0
223.57,243.33,8.64,251.97,286.82,2247.7,147.5,34.52,28.16,21.5,3.2,0
218.16,238.23,8.44,246.67,286.6,2229.3,120.23,28.15,28.23,24.2,1.3,0
220.68,229.85,8.14,237.99,285.85,2153.6,289.24,61.54,28.23,28.8,2.5,0
214.33,205.59,7.85,213.44,286.52,1872.2,339.36,60.58,26.2,17,1,0
210.39,165.91,7.57,173.48,287.6,1541,302.54,43.43,21.91,16,2.3,0
198.88,127.65,6.88,134.53,286.74,1269.3,170.03,21.09,18.56,78,0.57,0
211.59,111.4,5.89,117.29,286.52,1188.8,114.31,14.45,18.9,32,0.65,0
223.32,138.08,5.23,143.31,293.4,1309.5,52.67,8.04,26.39,15,2.3,0
252.17,163.64,4.94,168.58,300.17,1479.6,213.09,32.21,33.13,87,2.5,0
339.59,127.73,5.27,133,298.82,1347.2,165.97,21.35,24.26,35,0.97,1
861.09,103.2,5.21,108.41,291.92,1161.5,60.21,7.01,19.81,100,1.3,0
1166.36,111.37,4.28,115.65,285.24,1127.7,-11.39,0,26.01,100,2.3,0
338.21,111.42,3.13,114.55,280.2,1255.2,-84.61,0,35.6,100,2.5,0
217.39,126.27,2.71,128.98,281.16,1454.6,136.07,21.04,46.67,97,2.37,0
245.16,120.38,2.85,123.23,283.26,1459.3,119.42,17.96,42.3,66,1.3,0
322.2,113.12,3.34,116.46,284.13,1405.3,173.11,24.53,33.84,88,3.8,0
419.33,121.35,3.62,124.97,287.06,1380.3,66.42,10.2,33.55,23,1.3,0
404.4,152.12,3.94,156.06,293.62,1408.4,341.37,45.22,38.56,51,2.3,0
232.12,124.19,4.46,128.65,292.22,1178.5,104.67,12.35,27.87,78,0.57,0
254.4,111.54,4.77,116.31,289.25,1141.2,48.85,5.94,23.4,69,0.97,0
488.95,119.59,4.36,123.95,288.49,1252.7,42.66,6.08,27.45,23,0.32,1
538.95,159.77,4.02,163.79,298.55,1495.6,116.75,20.17,39.74,16,0.77,1
442.31,205.9,4.53,210.43,310.17,1691.5,262.25,46.2,45.47,68,0.23,1
536.17,184.24,6.17,190.41,313.82,1634.1,220.09,36.67,29.86,36,0.12,1
925.17,153.02,7.48,160.5,312.37,1461.1,295.6,39.86,20.46,55,3.8,0
959.04,116.66,6.94,123.6,305.21,1156.1,125.89,13.74,16.81,76,1.3,0
281.93,108.83,5.58,114.41,297.47,1004.6,20.66,2.15,19.52,34,2.3,0
228.08,108.03,3.6,111.63,290.25,995.2,22.43,2.34,30.02,89,2.5,0
223.86,108.49,2.31,110.8,282.96,998.6,21.09,2.2,47.03,54,2.37,0
215.7,109.03,1.82,110.85,276.9,1008.1,11.59,1.24,59.93,43,1.3,0
198.33,114.08,1.61,115.69,271.68,1055.7,10.43,1.2,70.91,45,4.3,0
